"","team_name","color","player_tag","core_goals","core_assists","core_saves","core_shots","core_score","demo_inflicted","demo_taken","advanced_rating"
"1","GROUND ZERO GAMING","blue","Amphis",3,0,4,9,1119,2,2,0.86358972437059
"2","GROUND ZERO GAMING","blue","Torsos",2,5,2,13,1209,2,0,1.35050027017908
"3","GROUND ZERO GAMING","blue","Express",4,2,2,12,1077,2,5,1.23297014972143
"4","RANGA ROUNDUP","orange","Laxin",1,1,8,5,1086,1,2,0.806691750351558
"5","RANGA ROUNDUP","orange","Baked Potato",3,0,4,4,948,3,3,1.07798285595665
"6","RANGA ROUNDUP","orange","mel kin",1,2,9,6,1105,3,1,0.987119071106835
"7","RENEGADES","blue","Fever",5,9,6,13,1971,5,1,2.24858173236106
"8","RENEGADES","blue","Kamii",4,6,3,14,1381,3,1,1.61997908805961
"9","RENEGADES","blue","CJCJ",12,6,1,19,2319,3,5,2.64821074250106
"10","TRIDENT ESPORTS","orange","Viic",1,2,4,7,956,4,4,0.803442483256046
"11","TRIDENT ESPORTS","orange","RoToR",1,1,6,3,850,1,1,0.648888398836343
"12","TRIDENT ESPORTS","orange","Smash",2,0,6,6,860,2,6,0.814339097365361
"13","DIRE WOLVES","blue","Walcott",3,4,2,14,1387,5,3,1.01989104824221
"14","DIRE WOLVES","blue","Fiberr",6,3,3,15,1773,3,1,1.31591481081654
"15","DIRE WOLVES","blue","misty",3,2,8,17,1484,5,4,1.02218838362248
"16","TEAM EROS","orange","RemiK",2,1,15,8,1984,2,3,1.14165856819073
"17","TEAM EROS","orange","Sour",2,3,4,10,1463,2,6,0.975947233166171
"18","TEAM EROS","orange","Gus",2,0,4,6,1110,4,4,0.590065382616665
"19","WILDCARD GAMING","blue","Decka",4,4,2,12,1252,4,4,1.37057789866523
"20","WILDCARD GAMING","blue","cavemanben",8,3,3,16,1910,2,4,1.88794757485261
"21","WILDCARD GAMING","blue","Siki",7,7,5,18,2226,2,3,2.55746380103253
"22","BIG GOOSE","orange","Scout",4,0,7,6,1252,5,1,1.2251012716882
"23","BIG GOOSE","orange","Tobee",1,3,8,7,1373,4,1,1.11751012715511
"24","BIG GOOSE","orange","Shmoopernator",1,2,6,5,914,2,6,0.836029096930336
"25","FORKIDDEN","blue","Superlachie",2,3,10,13,1592,3,3,1.43137885577433
"26","FORKIDDEN","blue","Scrub",4,0,6,8,1196,3,2,1.37694230050619
"27","FORKIDDEN","blue","Bananahead",1,3,2,9,832,6,2,0.807507407119203
"28","RANCID RATS REBORN","orange","delusioN",0,0,8,9,914,1,3,0.514539140226854
"29","RANCID RATS REBORN","orange","Lerky",0,0,4,6,737,2,5,0.319614439906712
"30","RANCID RATS REBORN","orange","SSteve",0,0,4,6,713,4,4,0.316524295705558
"31","VORT CENTRAL","blue","vortexioz",3,0,10,11,1676,3,6,0.978589770152517
"32","VORT CENTRAL","blue","Cobbo",1,2,7,5,1308,1,3,0.711923389891434
"33","VORT CENTRAL","blue","Snowy",1,2,2,5,875,3,5,0.631349608405026
"34","BANDITS ESC","orange","Hawk",3,3,7,16,1781,5,3,1.20901853937561
"35","BANDITS ESC","orange","Spratt",4,1,4,7,1300,6,3,1.02883940961686
"36","BANDITS ESC","orange","zayd",3,4,2,9,1379,3,1,1.01151015001904
"37","DIRE WOLVES","blue","Fiberr",4,0,5,10,1228,3,3,1.03647598882618
"38","DIRE WOLVES","blue","misty",2,0,4,6,837,3,3,0.699101818922666
"39","DIRE WOLVES","blue","Walcott",0,4,3,8,864,3,0,0.803647436239595
"40","WILDCARD GAMING","orange","Siki",5,2,6,7,1398,2,5,1.6521321733125
"41","WILDCARD GAMING","orange","Decka",0,5,7,7,1048,3,1,1.02672906578237
"42","WILDCARD GAMING","orange","cavemanben",6,1,3,11,1311,1,3,1.353999230402
"43","R!OT GAMING","blue","Tango",1,1,8,9,1176,8,3,0.888394957629861
"44","R!OT GAMING","blue","kaka",2,4,2,7,1044,1,0,1.11705827482878
"45","R!OT GAMING","blue","finn",5,1,4,12,1344,3,5,1.36701181601586
"46","FORKIDDEN","orange","Bananahead",2,1,6,10,1023,2,4,0.929206685818792
"47","FORKIDDEN","orange","Superlachie",1,2,7,6,1092,4,3,1.00533714692488
"48","FORKIDDEN","orange","Scrub",1,1,2,7,751,2,5,0.600473213093613
"49","RENEGADES","blue","Fever",2,5,7,10,1757,6,3,1.23212072725468
"50","RENEGADES","blue","Kamii",3,2,7,18,1715,6,3,1.00609471814198
"51","RENEGADES","blue","CJCJ",6,1,5,18,1958,6,7,1.24978043971407
"52","BANDITS ESC","orange","zayd",2,1,10,10,1638,3,7,0.87717734904455
"53","BANDITS ESC","orange","Spratt",3,2,4,8,1318,4,6,0.959584782548246
"54","BANDITS ESC","orange","Hawk",2,4,14,10,2284,6,5,1.27356648572201
"55","THE GROGANS","blue","Shorez",3,0,8,10,1669,6,6,0.86557095919482
"56","THE GROGANS","blue","mock",0,1,12,11,1658,9,6,0.561202693558079
"57","THE GROGANS","blue","Requiem",0,1,5,11,1254,5,7,0.404466299585592
"58","GROUND ZERO GAMING","orange","Express",1,3,3,10,1232,4,6,0.681516897591322
"59","GROUND ZERO GAMING","orange","Amphis",2,1,7,18,1569,8,9,0.735011752646801
"60","GROUND ZERO GAMING","orange","Torsos",3,0,12,10,2205,7,5,0.763993354984539
"61","RANGA ROUNDUP","blue","Laxin",2,2,7,12,1730,2,2,0.773977009250351
"62","RANGA ROUNDUP","blue","mel kin",1,2,5,4,1282,7,1,0.58776807535669
"63","RANGA ROUNDUP","blue","Baked Potato",6,1,3,17,1714,6,4,1.04241584149785
"64","TRIDENT ESPORTS","orange","Smash",3,2,7,13,1686,1,3,0.842018275909601
"65","TRIDENT ESPORTS","orange","RoToR",3,1,5,11,1509,4,8,0.804985864680535
"66","TRIDENT ESPORTS","orange","Viic",3,4,1,9,1454,2,4,0.986441230394669
"67","BIG GOOSE","blue","Shmoopernator",4,1,6,14,1626,4,4,0.838260946180151
"68","BIG GOOSE","blue","Tobee",2,5,11,9,2151,9,3,1.08531295036258
"69","BIG GOOSE","blue","Scout",5,3,12,24,2259,4,0,1.31629285859685
"70","VORT CENTRAL","orange","Cobbo",4,3,8,18,1873,3,5,1.11052124529472
"71","VORT CENTRAL","orange","Snowy",4,2,6,17,1723,3,6,0.969038745884497
"72","VORT CENTRAL","orange","vortexioz",4,4,10,15,2247,1,6,1.23463438078446
"73","TEAM EROS","blue","RemiK",5,5,10,16,2180,2,4,1.60203246491148
"74","TEAM EROS","blue","Sour",4,1,4,13,1217,2,4,0.848564667519333
"75","TEAM EROS","blue","Gus",7,4,8,13,2064,7,5,1.62559789386849
"76","PANIK GAMING","orange","Junior",2,3,4,13,1271,2,6,0.888218887749778
"77","PANIK GAMING","orange","eli",2,1,7,10,1275,5,1,0.860413360340806
"78","PANIK GAMING","orange","Joel",1,1,6,7,1136,6,4,0.53699602785599
"79","WILDCARD GAMING","blue","Decka",2,2,3,9,864,1,1,1.0461571719384
"80","WILDCARD GAMING","blue","Siki",1,1,2,6,662,3,4,0.630138306462775
"81","WILDCARD GAMING","blue","cavemanben",2,1,8,9,1234,0,0,1.10541951234394
"82","GROUND ZERO GAMING","orange","Express",1,4,5,8,1057,2,2,1.01177312531578
"83","GROUND ZERO GAMING","orange","Torsos",7,1,3,11,1417,2,0,1.65106567667965
"84","GROUND ZERO GAMING","orange","Amphis",4,5,6,10,1619,1,2,1.65968636163005
"85","TRIDENT ESPORTS","blue","Viic",5,4,8,14,2030,4,6,1.26848073222351
"86","TRIDENT ESPORTS","blue","Smash",4,3,6,14,1815,6,9,1.12503734909662
"87","TRIDENT ESPORTS","blue","RoToR",1,0,8,15,1418,2,6,0.5310702377756
"88","THE GROGANS","orange","Requiem",5,5,10,12,2270,8,4,1.28835524932455
"89","THE GROGANS","orange","mock",5,5,9,20,2322,6,2,1.37915276990479
"90","THE GROGANS","orange","Shorez",3,1,7,10,1315,7,6,0.74691724587232
"91","BANDITS ESC","blue","Spratt",1,5,5,8,1111,6,0,0.895923512155372
"92","BANDITS ESC","blue","zayd",6,5,6,17,1965,7,3,1.58769312733214
"93","BANDITS ESC","blue","Hawk",9,5,7,17,2556,5,3,2.01065073225367
"94","RANCID RATS REBORN","orange","SSteve",1,2,3,6,962,0,7,0.56759932476707
"95","RANCID RATS REBORN","orange","Lerky",2,0,8,14,1289,5,8,0.753307369030488
"96","RANCID RATS REBORN","orange","delusioN",2,1,7,9,1446,1,3,1.00362922792848
"97","DIRE WOLVES","blue","Fiberr",4,3,9,19,1928,2,4,1.30949950050953
"98","DIRE WOLVES","blue","Walcott",4,1,7,17,1686,6,5,1.07564225031211
"99","DIRE WOLVES","blue","misty",2,4,4,8,1346,1,6,0.892341423142766
"100","VORT CENTRAL","orange","Snowy",2,0,14,6,1663,5,4,0.960853399144533
"101","VORT CENTRAL","orange","vortexioz",3,1,9,16,1664,3,3,1.04761704463201
"102","VORT CENTRAL","orange","Cobbo",0,2,8,5,1094,7,2,0.526631056902625
"103","FORKIDDEN","blue","Scrub",5,2,1,10,1600,5,3,1.09364942280107
"104","FORKIDDEN","blue","Bananahead",2,4,1,13,1189,2,3,0.906273110551189
"105","FORKIDDEN","blue","Superlachie",3,2,11,13,1722,3,2,1.16783832142216
"106","TEAM EROS","orange","Sour",3,0,3,8,1119,2,3,0.708538204580698
"107","TEAM EROS","orange","RemiK",1,3,6,7,1374,3,4,0.845450960706939
"108","TEAM EROS","orange","Gus",0,1,7,7,1080,3,3,0.481024532474104
"109","RANGA ROUNDUP","blue","Laxin",3,3,11,15,2183,4,9,1.06158391192495
"110","RANGA ROUNDUP","blue","mel kin",1,0,9,8,1318,1,4,0.531736135863591
"111","RANGA ROUNDUP","blue","Baked Potato",2,2,5,13,1474,3,8,0.689750694594401
"112","BIG GOOSE","orange","Shmoopernator",2,4,7,14,1518,4,4,0.959211687286026
"113","BIG GOOSE","orange","Tobee",1,2,12,16,2250,9,1,0.867945039939999
"114","BIG GOOSE","orange","Scout",5,1,4,14,1652,8,3,0.960196561722978
"115","BANDITS ESC","blue","Hawk",7,3,6,16,1943,3,2,1.94215279431536
"116","BANDITS ESC","blue","Spratt",3,4,2,6,992,4,2,1.28825422086978
"117","BANDITS ESC","blue","zayd",3,2,7,9,1213,3,1,1.18954419316268
"118","WILDCARD GAMING","orange","cavemanben",4,2,2,9,1225,1,3,1.39555936887702
"119","WILDCARD GAMING","orange","Decka",2,4,2,9,941,3,2,1.17506307635388
"120","WILDCARD GAMING","orange","Siki",2,0,9,7,1154,1,5,0.975066947582132
"121","RENEGADES","blue","Fever",3,0,4,3,943,2,5,1.5299658065015
"122","RENEGADES","blue","CJCJ",1,1,4,3,760,5,3,0.866289153165286
"123","RENEGADES","blue","Kamii",0,2,2,3,563,4,3,0.668970506312678
"124","THE GROGANS","orange","Requiem",0,0,1,6,389,1,4,0.277718947548367
"125","THE GROGANS","orange","Shorez",0,1,3,2,469,4,7,0.533255478118716
"126","THE GROGANS","orange","mock",1,0,1,2,434,6,0,0.555321907594203
"127","FORKIDDEN","blue","Bananahead",1,0,7,13,1218,0,3,0.794421150035152
"128","FORKIDDEN","blue","Scrub",2,0,3,6,1035,2,4,0.6494547319642
"129","FORKIDDEN","blue","Superlachie",1,2,5,10,981,3,1,0.912675419142197
"130","DIRE WOLVES","orange","Fiberr",5,1,6,13,1538,3,0,1.49609257147273
"131","DIRE WOLVES","orange","misty",2,1,9,7,1383,3,2,1.09287831568375
"132","DIRE WOLVES","orange","Walcott",0,3,3,6,936,2,3,0.693767175209596
"133","VORT CENTRAL","blue","Cobbo",8,3,5,14,1935,1,5,1.71899659329013
"134","VORT CENTRAL","blue","Snowy",1,2,4,10,981,3,5,0.599623603825831
"135","VORT CENTRAL","blue","vortexioz",4,2,4,14,1489,1,2,1.06985144732485
"136","JOE","orange","SPYDOGE",3,1,7,7,1453,3,2,0.948713534882286
"137","JOE","orange","Moss",3,1,8,10,1441,2,1,0.906584069214011
"138","JOE","orange","Le Duck",1,2,5,6,970,7,2,0.617724833549063
"139","RANCID RATS REBORN","blue","delusioN",2,2,2,8,784,2,1,1.30505697297114
"140","RANCID RATS REBORN","blue","SSteve",2,1,4,7,910,0,4,1.21701178126883
"141","RANCID RATS REBORN","blue","Lerky",1,1,2,6,568,3,1,0.734237160481512
"142","TEAM EROS","orange","Sour",2,0,2,5,547,0,2,0.90656410329592
"143","TEAM EROS","orange","RemiK",1,1,7,9,970,4,2,1.15999638325692
"144","TEAM EROS","orange","Gus",1,2,3,1,739,2,1,1.15617439331844
"145","TRIDENT ESPORTS","blue","RoToR",2,2,11,8,1677,3,5,0.935156318617576
"146","TRIDENT ESPORTS","blue","Smash",2,1,4,9,1125,8,3,0.702177485511076
"147","TRIDENT ESPORTS","blue","Viic",3,2,7,8,1585,4,3,1.02365310971455
"148","BIG GOOSE","orange","Shmoopernator",4,4,5,16,1679,2,7,1.25172531824796
"149","BIG GOOSE","orange","Tobee",4,4,4,14,1645,5,4,1.29035624236883
"150","BIG GOOSE","orange","Scout",4,3,6,12,1366,4,4,1.24775145000101
"151","VORT CENTRAL","blue","Snowy",0,1,3,5,664,1,6,0.393364368657086
"152","VORT CENTRAL","blue","vortexioz",4,1,4,7,1395,2,1,1.43048962689303
"153","VORT CENTRAL","blue","Cobbo",1,3,5,10,1047,1,2,1.0354458055228
"154","THE GROGANS","orange","Requiem",1,0,8,8,1041,2,3,0.73016705353428
"155","THE GROGANS","orange","mock",0,0,6,5,1069,5,1,0.40460689903017
"156","THE GROGANS","orange","Shorez",0,0,1,2,405,2,0,0.11709089464237
"157","FORKIDDEN","blue","Superlachie",8,1,8,16,2304,4,3,1.40956306341189
"158","FORKIDDEN","blue","Bananahead",3,2,6,15,1556,1,5,0.825155858773411
"159","FORKIDDEN","blue","Scrub",0,4,1,16,1078,8,5,0.558944303450431
"160","BIG GOOSE","orange","Tobee",1,5,7,7,1729,4,5,0.909897100084144
"161","BIG GOOSE","orange","Scout",5,1,6,13,1572,6,3,0.990217025731972
"162","BIG GOOSE","orange","Shmoopernator",3,2,10,9,1852,3,5,0.899879997672638
"163","RANCID RATS REBORN","blue","delusioN",3,1,10,10,1468,5,4,1.28180495544116
"164","RANCID RATS REBORN","blue","Lerky",1,5,4,7,1187,4,0,1.23090993979997
"165","RANCID RATS REBORN","blue","SSteve",3,1,5,11,1187,6,2,1.20821444226724
"166","WILDCARD GAMING","orange","Siki",3,0,5,7,1270,1,6,1.19287123202869
"167","WILDCARD GAMING","orange","cavemanben",1,2,5,8,1002,1,6,0.969032433460717
"168","WILDCARD GAMING","orange","Decka",0,2,3,8,793,4,3,0.593125305610392
"169","BIG GOOSE","blue","Tobee",4,1,5,15,1517,2,2,1.02694442892692
"170","BIG GOOSE","blue","Shmoopernator",1,4,4,9,1125,0,5,0.791790052240677
"171","BIG GOOSE","blue","Scout",4,2,3,12,1282,5,6,0.958433605821372
"172","TISI","orange","tonio",7,1,5,13,1715,3,2,1.46095631203174
"173","TISI","orange","Pagsi",0,2,8,2,1100,5,3,0.507687217745312
"174","TISI","orange","Vis",1,3,9,6,1508,5,2,0.950496046780374
"175","WILDCARD GAMING","blue","cavemanben",7,3,4,14,1707,3,2,1.80791156592414
"176","WILDCARD GAMING","blue","Decka",6,7,1,14,1518,0,8,1.97553875799071
"177","WILDCARD GAMING","blue","Siki",4,4,4,16,1473,0,3,1.50418414897584
"178","BOUGEE'S ANGELS","orange","Storm",0,0,9,3,1015,6,1,0.452257875273324
"179","BOUGEE'S ANGELS","orange","Eckey",1,2,2,4,686,5,2,0.728735904381063
"180","BOUGEE'S ANGELS","orange","Bougee",2,1,7,8,1141,2,0,1.02720919415087
"181","JOE","blue","Le Duck",2,6,5,6,1387,4,1,1.48300313453176
"182","JOE","blue","SPYDOGE",9,1,5,13,2008,1,1,1.99111916943957
"183","JOE","blue","Moss",2,5,4,8,1242,2,3,1.23454480204501
"184","RUST-EZE","orange","Hughesy",4,2,2,9,1279,0,1,1.36752138417879
"185","RUST-EZE","orange","caleb.",1,1,5,6,890,4,4,0.709322980382058
"186","RUST-EZE","orange","Jackay",1,2,2,9,826,1,2,0.892327906670184
"187","TEAM EROS","blue","Gus",3,3,4,14,1434,3,4,1.25620790439933
"188","TEAM EROS","blue","Sour",4,1,10,9,1642,1,5,1.00984548095828
"189","TEAM EROS","blue","RemiK",1,3,6,13,1335,4,7,0.849403838650203
"190","HMS ENDEAVOR","orange","ceeva",3,3,11,14,2027,7,3,1.25178685873098
"191","HMS ENDEAVOR","orange","Homie",2,4,4,9,1295,4,1,0.958051579093128
"192","HMS ENDEAVOR","orange","change",4,1,5,11,1487,5,4,1.10470061531732
"193","TRIDENT ESPORTS","blue","Smash",0,1,6,8,934,2,2,0.570376249770786
"194","TRIDENT ESPORTS","blue","RoToR",2,0,3,6,791,3,3,0.618038265919137
"195","TRIDENT ESPORTS","blue","Viic",0,0,3,8,612,4,3,0.308690394135112
"196","WAZOOO","orange","tigr",4,2,6,9,1421,4,2,1.56677761729881
"197","WAZOOO","orange","Kachow",2,0,5,7,993,1,4,0.759964829188837
"198","WAZOOO","orange","Scarth",1,3,3,9,869,3,3,0.90190812733935
"199","RANGA ROUNDUP","blue","Laxin",5,0,11,15,2504,5,6,1.16764417348518
"200","RANGA ROUNDUP","blue","Baked Potato",4,1,7,17,1897,4,11,0.966349848834393
"201","RANGA ROUNDUP","blue","mel kin",1,2,8,16,1835,7,9,0.720704782135156
"202","1620 KINGS","orange","Kuma",3,2,7,14,1973,8,4,0.867033106255732
"203","1620 KINGS","orange","Aimz",2,3,8,13,2031,10,5,0.8569501891677
"204","1620 KINGS","orange","Jaffa",2,1,11,11,2228,8,7,0.814434591065661
"205","PANIK GAMING","blue","Junior",0,1,3,7,713,2,7,0.316089977259968
"206","PANIK GAMING","blue","eli",0,2,4,4,950,1,0,0.409917430316449
"207","PANIK GAMING","blue","Joel",3,0,2,8,1113,4,5,0.625793836629424
"208","BROS ON THEIR TOES","orange","Azmo",4,1,2,10,1178,7,3,0.943329996851879
"209","BROS ON THEIR TOES","orange","Negative",2,4,5,6,1347,0,3,1.02706222003326
"210","BROS ON THEIR TOES","orange","airmac",3,1,6,3,1320,5,1,0.757677130019136
"211","WILDCARD GAMING","blue","Siki",2,3,6,11,1479,2,4,1.03003360173434
"212","WILDCARD GAMING","blue","Decka",6,1,3,13,1530,1,1,1.16179251771282
"213","WILDCARD GAMING","blue","cavemanben",1,3,2,9,933,2,5,0.734060725189023
"214","RANGA ROUNDUP","orange","Baked Potato",1,1,6,6,1047,4,1,0.562785180133637
"215","RANGA ROUNDUP","orange","mel kin",1,1,7,5,1180,4,2,0.664997227547749
"216","RANGA ROUNDUP","orange","Laxin",1,1,7,9,1200,2,2,0.639415059254575
"217","BIG GOOSE","blue","Tobee",2,4,8,6,1472,5,5,1.06156691884423
"218","BIG GOOSE","blue","Shmoopernator",5,2,3,20,1651,2,3,1.16208691059362
"219","BIG GOOSE","blue","Scout",4,3,3,16,1621,5,4,1.14548053987827
"220","JOE","orange","Moss",2,2,10,10,1608,4,6,0.942868279386142
"221","JOE","orange","Le Duck",4,3,6,14,1640,4,3,1.21633406118045
"222","JOE","orange","SPYDOGE",3,2,9,9,1823,4,3,1.16887599125858
"223","WAZOOO","blue","Scarth",3,1,10,9,1727,6,1,0.951040297134584
"224","WAZOOO","blue","tigr",1,1,10,10,1518,5,4,0.74779800432783
"225","WAZOOO","blue","Kachow",3,3,5,15,1405,5,2,1.03371846751638
"226","HMS ENDEAVOR","orange","ceeva",5,3,13,18,2372,4,6,1.66697979215139
"227","HMS ENDEAVOR","orange","change",3,3,5,13,1394,3,4,1.02536587449376
"228","HMS ENDEAVOR","orange","Homie",3,2,3,12,1155,0,6,0.851638544093119
"229","THE GROGANS","blue","Shorez",5,0,3,4,871,2,3,1.97681872193749
"230","THE GROGANS","blue","mock",2,4,3,6,1024,2,0,1.78148508002173
"231","THE GROGANS","blue","Requiem",1,2,7,5,922,2,2,1.16643961888652
"232","BROS ON THEIR TOES","orange","Negative",1,0,3,6,695,1,2,0.702808735709058
"233","BROS ON THEIR TOES","orange","Azmo",0,1,0,4,336,2,1,0.425662953403001
"234","BROS ON THEIR TOES","orange","airmac",1,1,2,9,558,2,3,0.990434242467633
"235","1620 KINGS","blue","Aimz",4,0,5,12,1453,7,4,0.946498539767974
"236","1620 KINGS","blue","Kuma",1,2,7,6,1112,6,6,0.671745759667717
"237","1620 KINGS","blue","Jaffa",2,3,6,6,1189,5,4,1.03948747343985
"238","TRIDENT ESPORTS","orange","RoToR",1,1,7,8,1122,4,4,0.581164299468019
"239","TRIDENT ESPORTS","orange","Viic",3,0,3,11,1298,5,10,0.720908119173389
"240","TRIDENT ESPORTS","orange","Smash",0,1,2,7,766,5,4,0.298792682603695
"241","TISI","blue","Pagsi",1,4,6,11,1188,2,5,1.16458375373046
"242","TISI","blue","tonio",7,0,2,16,1641,3,7,1.45669495573735
"243","TISI","blue","Vis",2,2,4,10,977,4,5,0.923453092047384
"244","BOUGEE'S ANGELS","orange","Storm",1,1,4,6,962,4,1,0.71526167163255
"245","BOUGEE'S ANGELS","orange","Eckey",4,0,11,10,1458,3,6,1.35078139061825
"246","BOUGEE'S ANGELS","orange","Bougee",0,2,5,7,881,10,2,0.726367458587618
"247","PANIK GAMING","blue","eli",2,2,6,10,1320,0,3,1.09919969415905
"248","PANIK GAMING","blue","Junior",4,2,0,6,1087,1,2,1.13387175366644
"249","PANIK GAMING","blue","Joel",5,4,3,8,1448,1,3,1.72264764683217
"250","SMASHA5000","orange","Sonic",0,0,6,3,910,1,1,0.349077110435538
"251","SMASHA5000","orange","civex",2,1,3,7,904,3,1,0.869392244880853
"252","SMASHA5000","orange","mith",1,2,4,5,868,4,0,0.829472545509299
"253","TEAM EROS","blue","RemiK",5,2,5,7,1501,2,2,1.58964412657001
"254","TEAM EROS","blue","Sour",1,4,2,7,995,0,0,0.897568531367121
"255","TEAM EROS","blue","Gus",5,3,5,11,1438,6,5,1.6037133132203
"256","RUST-EZE","orange","Hughesy",1,0,4,5,762,0,4,0.612616537623377
"257","RUST-EZE","orange","Jackay",1,0,6,5,979,3,2,0.569990470200409
"258","RUST-EZE","orange","caleb.",1,2,1,11,820,4,2,0.780150453189117
"259","WILDCARD GAMING","blue","Siki",3,2,3,6,1167,3,4,1.39480320584864
"260","WILDCARD GAMING","blue","cavemanben",1,1,0,9,744,1,5,0.531520003350236
"261","WILDCARD GAMING","blue","Decka",2,3,3,11,1021,3,3,1.09440612263581
"262","THE GROGANS","orange","Requiem",0,0,4,3,658,4,2,0.256856340351598
"263","THE GROGANS","orange","Shorez",2,0,5,5,1011,6,3,0.92395369787363
"264","THE GROGANS","orange","mock",1,2,5,5,1183,2,2,0.85104017468027
"265","BIG GOOSE","blue","Shmoopernator",3,0,10,12,1589,4,4,0.867010643338732
"266","BIG GOOSE","blue","Tobee",2,2,5,13,1412,3,7,0.896034293802681
"267","BIG GOOSE","blue","Scout",0,3,3,8,934,5,3,0.606175054765239
"268","HMS ENDEAVOR","orange","change",2,1,9,11,1384,7,7,0.821202896830578
"269","HMS ENDEAVOR","orange","Homie",2,3,5,8,1235,3,2,0.888041353975354
"270","HMS ENDEAVOR","orange","ceeva",3,0,7,10,1439,4,3,0.790939575623171
"271","1620 KINGS","blue","Aimz",6,2,5,27,2103,2,4,1.17417199652573
"272","1620 KINGS","blue","Kuma",4,5,7,11,1989,2,6,1.1178753660793
"273","1620 KINGS","blue","Jaffa",3,3,3,11,1406,7,5,0.771921771912276
"274","JOE","orange","SPYDOGE",5,1,11,9,2056,5,3,1.20206633328935
"275","JOE","orange","Le Duck",5,4,7,16,2158,5,4,1.26857128602707
"276","JOE","orange","Moss",3,5,9,9,1804,5,4,1.0910157844441
"277","RANGA ROUNDUP","blue","mel kin",1,4,6,13,1448,3,4,0.885731685049082
"278","RANGA ROUNDUP","blue","Baked Potato",6,0,4,13,1489,8,11,1.1426134313922
"279","RANGA ROUNDUP","blue","Laxin",3,1,9,10,1625,3,11,1.03592144150874
"280","TISI","orange","Vis",0,1,9,5,1183,14,2,0.509508438653945
"281","TISI","orange","tonio",3,1,4,11,1274,7,7,0.90094039504684
"282","TISI","orange","Pagsi",1,0,9,12,1203,5,5,0.626051455687697
"283","WAZOOO","blue","Scarth",4,3,4,13,1474,3,5,1.49219802522591
"284","WAZOOO","blue","Kachow",3,2,5,9,1184,1,3,1.14969837354307
"285","WAZOOO","blue","tigr",1,1,4,8,982,7,2,0.66719850749289
"286","PANIK GAMING","orange","eli",3,1,7,6,1336,2,1,1.21305073424451
"287","PANIK GAMING","orange","Joel",0,3,2,10,794,7,6,0.768822633823387
"288","PANIK GAMING","orange","Junior",2,0,9,6,1240,1,4,1.18827141027779
"289","TRIDENT ESPORTS","blue","Smash",3,3,0,10,998,2,4,1.1075062585252
"290","TRIDENT ESPORTS","blue","RoToR",2,3,4,6,1081,2,8,1.00429791742511
"291","TRIDENT ESPORTS","blue","Viic",4,1,6,8,1214,1,10,1.17611687796847
"292","BOUGEE'S ANGELS","orange","Storm",2,0,6,4,995,6,3,0.934251938094447
"293","BOUGEE'S ANGELS","orange","Bougee",0,3,1,4,528,7,1,0.639346737771471
"294","BOUGEE'S ANGELS","orange","Eckey",2,1,2,11,938,9,1,0.8651203462488
"295","RUST-EZE","blue","Hughesy",2,1,6,11,1135,1,8,0.774267034999297
"296","RUST-EZE","blue","Jackay",4,3,7,10,1592,7,4,1.25683593215527
"297","RUST-EZE","blue","caleb.",3,3,7,10,1441,4,3,1.1163090263919
"298","SMASHA5000","orange","Sonic",3,2,7,13,1515,2,3,1.04398112896753
"299","SMASHA5000","orange","mith",2,2,4,9,1140,5,5,0.833685718678188
"300","SMASHA5000","orange","civex",1,1,7,8,1065,8,4,0.663456993032529
"301","BIG GOOSE","blue","Scout",5,2,8,19,1803,3,7,1.09405723976361
"302","BIG GOOSE","blue","Tobee",2,4,6,13,1641,6,6,0.893842367089951
"303","BIG GOOSE","blue","Shmoopernator",5,4,8,16,1956,2,4,1.2782181832832
"304","1620 KINGS","orange","Jaffa",3,3,7,13,1626,7,2,0.928749951295955
"305","1620 KINGS","orange","Kuma",5,5,11,13,2182,8,6,1.44419631214507
"306","1620 KINGS","orange","Aimz",4,3,11,16,2150,2,3,1.13851468090794
"307","THE GROGANS","blue","Shorez",4,3,9,13,1966,9,4,1.03188734091607
"308","THE GROGANS","blue","mock",5,2,7,14,2087,9,9,1.03410235855338
"309","THE GROGANS","blue","Requiem",2,5,7,13,1662,1,4,1.00917834747644
"310","RANGA ROUNDUP","orange","Laxin",2,3,3,10,1558,6,7,0.778131218209012
"311","RANGA ROUNDUP","orange","Baked Potato",2,2,10,12,1693,4,3,0.789431167677127
"312","RANGA ROUNDUP","orange","mel kin",3,1,9,14,1672,7,9,0.842654908074081
"313","TEAM EROS","blue","Sour",5,4,6,6,1520,2,3,1.85806104408628
"314","TEAM EROS","blue","RemiK",6,3,4,14,1597,2,4,1.67484703955093
"315","TEAM EROS","blue","Gus",6,6,1,14,1606,4,4,1.91009796424235
"316","WAZOOO","orange","Kachow",1,0,1,6,454,4,1,0.442904891754407
"317","WAZOOO","orange","tigr",1,0,5,9,819,5,3,0.613158080195169
"318","WAZOOO","orange","Scarth",0,2,3,5,660,2,4,0.603080541501513
"319","JOE","blue","Moss",5,2,10,9,1882,5,5,1.22101640581838
"320","JOE","blue","SPYDOGE",0,2,7,16,1407,5,4,0.547226279864083
"321","JOE","blue","Le Duck",4,2,4,18,1501,14,3,0.986650102059647
"322","TRIDENT ESPORTS","orange","Smash",5,2,6,17,1856,5,8,1.05001215394627
"323","TRIDENT ESPORTS","orange","Viic",2,2,7,11,1451,3,12,0.6865051499322
