"","team_name","color","player_tag","core_goals","core_assists","core_saves","core_shots","core_score","demo_inflicted","demo_taken","advanced_rating"
"21807","NO BOOST","orange","Atlantisee_",0,3,4,2,676,3,5,0.699728734391197
"21808","NO BOOST","orange","HeatzyRL",2,1,3,4,790,1,1,0.9222052227647
"21809","SYNERGY GAMING","blue","Syfohn.",5,2,4,15,1632,9,3,1.20256175824196
"21810","SYNERGY GAMING","blue","Elf",3,2,7,14,1444,6,2,0.992874356544927
"21811","SYNERGY GAMING","blue","SONIC-_1397",1,3,2,5,875,6,4,0.5667893483114
"21812","HIGH BORN KILLERS","orange","Rowen",1,4,6,10,1498,6,8,0.914665814250816
"21813","HIGH BORN KILLERS","orange","echo.",4,0,5,8,1285,2,6,0.881297480090084
"21814","HIGH BORN KILLERS","orange","Erratic",5,2,8,10,1672,1,7,1.4462368138708
"21815","AUREON ACES","blue","Casesleet DS",4,2,9,7,1693,0,5,1.20753971509816
"21816","AUREON ACES","blue","Maelstrom9508",5,3,5,9,1805,7,5,1.25076914172639
"21817","AUREON ACES","blue","Adapz",0,2,5,11,1343,7,3,0.557330630845346
"21818","SUNMOON ESPORT","orange","Dillawave",5,1,2,11,1334,3,5,1.0992906175055
"21819","SUNMOON ESPORT","orange","SYRIIX",1,3,10,12,1749,8,5,0.962736399125696
"21820","SUNMOON ESPORT","orange","Karma.",4,2,3,9,1639,2,4,0.990934936123909
"21821","LUMINOSITY GAMING","blue","eekso",4,3,6,10,1837,6,1,1.1639327920669
"21822","LUMINOSITY GAMING","blue","Tox",2,3,10,13,1713,3,5,1.01107994977522
"21823","LUMINOSITY GAMING","blue","AtomiK",3,0,8,13,1617,5,5,0.855503079161071
"21824","GROS NOOBZ","orange","Gekk",2,2,9,12,1748,4,2,1.01758049190573
"21825","GROS NOOBZ","orange","WhiiskyDrink",3,1,13,13,1808,4,8,1.27829376066516
"21826","GROS NOOBZ","orange","Yukiss",0,1,3,8,973,3,4,0.394177072567003
